DATE,AFLT,GAZP,KMAZ,LKOH,VTBR,URKA,TRNFP,SIBN,SBER,ROSN,RASP,PMTL,PLZL,OGK1,MMBM,GMKN,OGK2,OGK5,AVAZ,MTSI,SNGS,VZRZ
20091216,47.79,181.02,69.24,1712.95,0.0693,140.44,23960,176,82,261.4,138,294,1627.9,0.757,789.99,4290.44,0.95,2.33,15.35,226.96,27.959,1159.54
20091217,46.1,177,68.17,1655.56,0.0675,134.33,24050,169.28,81.16,253.49,139.25,295.97,1625.97,0.756,799.98,4199.99,0.946,2.294,15.055,225.4,27.402,1190.5
20091218,47.09,181.6,70.5,1663.09,0.0704,129.54,24398.99,165.81,81.19,256.09,141.45,294.45,1616,0.767,784.99,4177.01,0.951,2.32,15.135,227,27.425,1208.73
20091221,47,183.9,69.19,1665.83,0.0714,129.8,24469.99,164.4,81.21,255,142.71,298.5,1627,0.754,786,4229.99,0.942,2.288,15.037,229.7,27.069,1198.9
20091222,48,182.51,67.5,1670.89,0.0698,126.9,23920,162.25,81.4,252.97,146.39,296.02,1580,0.748,777,4181.03,0.945,2.271,14.771,227.75,26.468,1175
20091223,52.15,184.77,66.64,1676.49,0.0701,126.41,23865.1,163.2,80.71,253,146.99,290,1601.98,0.741,775,4225,0.943,2.21,14.65,223.49,26.311,1153
20091224,50.16,180.99,65.9,1665.06,0.0695,125.14,23389.9,163.99,80.9,249,145.48,280,1567.87,0.721,782,4144.94,0.923,2.185,14.5,222.57,26.111,1155
20091225,49.48,182.2,65.14,1671,0.0704,125.8,24090,163,80.92,251,145.81,275.33,1576.52,0.718,781.5,4165.07,0.922,2.19,14.669,222.25,26.299,1148.24
20091228,50.03,181.11,64.74,1693.73,0.0695,125.68,24224.9,164.34,80.37,254.25,146.1,279.8,1591.47,0.726,775.01,4213.94,0.913,2.198,14.501,222.48,26.5,1111
20091229,51.54,183.74,64.22,1708.05,0.0705,125.6,23799,165.28,81.02,252.42,143.12,278,1586.99,0.734,795,4262,0.924,2.157,14.399,221.6,26.962,1141
20091230,53.14,181.7,64.13,1688.06,0.0696,126.2,23707.77,162.7,81.81,251,145.54,279.5,1587,0.742,809,4244.12,0.92,2.155,14.591,219.41,26.6,1183
20091231,52.5,183.09,64.52,1693.38,0.0695,125.5,23570.16,163.73,82.94,252.01,146.5,282.7,1587.05,0.739,812.52,4235.74,0.919,2.157,14.8,220.98,26.834,1180
20100111,54.26,194.5,66.5,1750.98,0.0726,143.4,24490,170.68,86.69,271.7,156,293.57,1634.04,0.749,854,4695.4,0.958,2.298,14.989,228.9,28.289,1239
20100112,54.25,191.8,75.3,1719.82,0.0727,143.8,24300,169.6,85,266.52,158.96,294.5,1629.98,0.74,845,4640.06,0.95,2.3,15.693,226.7,27.563,1285
20100113,53.5,189.3,73.6,1709.44,0.0744,142.26,24500,166.75,86.61,267.54,165.12,296.05,1602.02,0.738,841.5,4654.14,0.96,2.35,15.276,225.6,27.739,1319.99
20100114,54.6,190.83,72.39,1726.8,0.0743,143.99,25181,167.4,87.55,268,175.62,296,1605.99,0.737,849,4892.94,0.98,2.414,15.336,226.79,27.679,1399
20100115,54.65,187.86,70.49,1731.95,0.0746,142,25900,166.09,88.15,268.5,174.98,295,1598,0.748,877,4884.62,1.012,2.45,15.3,228,27.487,1369
20100118,54.5,190.4,70.86,1745,0.075,145.9,27966.99,166.18,90.49,270.87,178.6,291.99,1612.11,0.757,864.99,5027,1.008,2.47,15.225,240,27.987,1371
20100119,54.87,189.76,70.3,1749,0.0758,145.25,27572.01,163.3,92.02,269.73,176.77,292.03,1600.85,0.757,856.5,5040,1.028,2.55,15.137,237.95,27.85,1340
20100120,54.99,185.98,69.3,1726.9,0.0747,141.87,26460,162.02,90.62,264.8,176.6,289,1592.97,0.748,866,4945,1.026,2.542,14.85,235.5,27.439,1350.01
20100121,54.9,182.76,67.49,1699.98,0.0742,139.73,26100,161,89.18,257,173.1,287.69,1551.03,0.748,859.99,4902.94,1.009,2.523,14.79,231.4,27.142,1351
20100122,52.14,181.5,68,1675.99,0.0712,135.4,25699,155.35,86.5,248.32,169.16,286.5,1529,0.731,843.64,4809.15,0.981,2.468,14.713,229.57,26.604,1295
20100125,52.48,182.85,67.49,1675,0.0721,131.12,25456,157,88.07,251.5,166.8,280.11,1538.02,0.745,852.14,4720,0.982,2.5,14.436,231.88,26.41,1280
20100126,52.54,181.29,66.92,1631.37,0.071,129,24920,151.66,85.84,238.49,162.01,280,1519.98,0.759,847.04,4589.96,0.956,2.405,14.2,229.46,25.82,1230
20100127,53.8,182.01,67.98,1638.96,0.072,130.4,24800.01,151.6,86.64,234.05,161.6,280.1,1523,0.83,854.95,4622.96,0.988,2.465,14.25,230.5,25.45,1215
20100128,54.65,182.3,72,1656.1,0.0743,130.5,25287.34,151.29,87.15,237.48,166.89,277.97,1502.1,0.863,862,4722,0.999,2.495,14.52,232.43,26.052,1242.3
20100129,56.48,186.44,70.47,1686.73,0.0754,130.97,25390,152.95,88.41,236.25,167.7,279.35,1494,0.855,870,4711.33,1.028,2.504,14.4,233.1,25.655,1230
20100201,56.51,189.85,71.61,1685.3,0.0749,130.1,25415.01,150.2,87.69,233.5,170.3,279.09,1484.9,0.847,868.05,4674.9,1.009,2.493,14.256,237.67,25.382,1240.2
20100202,57.01,192.21,72.7,1711,0.0759,132.25,26234.99,153.44,88.05,241.99,171.7,280.97,1497.86,0.885,880.05,4780,1.022,2.548,14.581,239,25.771,1291.16
20100203,56.35,192.7,73.45,1694.88,0.0757,137.99,26150,154.5,88.08,237.61,171.71,279.05,1497.98,0.9,888.8,4729.38,1.038,2.634,14.665,237.6,25.73,1319
20100204,54.38,186.59,69.8,1661.06,0.0755,134,25125,149.5,84.77,231.7,170.5,284,1488.99,0.85,888.6,4587.94,0.99,2.656,14.21,234.2,25.338,1329.98
20100205,52.51,182.31,70,1617.04,0.0721,131.72,24237,143.7,83.09,223.55,163.7,276.92,1425.16,0.815,897,4484.99,0.967,2.551,13.734,227.39,24.7,1265.17
20100208,51.19,175.31,70.73,1580.06,0.0702,128.7,23501.02,142.5,79.01,216.88,161.51,275.98,1420.67,0.832,890,4500,0.937,2.508,13.654,226.02,24.399,1270
20100209,52.3,174.91,72,1594.29,0.0718,132.38,24000,142.51,80.35,220.67,162.49,277.94,1447.99,0.857,912.92,4575.09,0.933,2.44,13.752,228.32,24.431,1317
20100210,51,171.48,73.2,1563.04,0.0708,131.84,23756.51,142.02,81.49,219,161.3,275.99,1450,0.89,930,4472,0.93,2.415,13.265,227,24.2,1277
20100211,51.54,168.4,79.5,1554,0.0715,135,23877.99,142.2,82.67,223.93,158.5,275,1445,0.93,967,4431.33,0.941,2.416,13.4,227.86,24.354,1269.74
20100212,50.38,163.04,75.39,1517,0.0707,133.5,22989.98,136.25,80,222.6,154.7,273.48,1447.99,0.933,953,4411,0.929,2.418,13.34,227.97,23.901,1286.99
20100215,51.03,164.45,72.48,1547.55,0.0713,136.52,23440,137.44,80.38,225.7,155,272.93,1424.9,0.933,964,4490,0.945,2.412,13.417,228.93,24.496,1337
20100216,54.01,172.18,73.7,1583.75,0.0744,141.49,24729.99,142.7,83.25,233.45,163.55,278.88,1453.48,0.929,971,4633.06,0.957,2.408,13.725,233.7,24.995,1370
20100217,56.59,171.35,74.24,1566.01,0.0741,140.99,24161,144.55,82.47,231.39,166.92,287.99,1453.94,0.935,967,4592,0.964,2.42,14.139,232.31,24.702,1360
20100218,55.7,168.4,74.3,1563.09,0.0729,137.19,23870,142.38,79.89,229.2,163.65,290,1453.98,0.931,969,4620,0.95,2.41,14.306,230.7,24.451,1360.01
20100219,55,171.83,75.7,1589.88,0.074,132.2,23837,142.57,79.17,236.25,163,285,1452.01,0.933,970.01,4710,0.954,2.41,14.43,229.99,25.009,1439.99
20100224,55.75,171,75.6,1566.83,0.0743,128.43,23675.05,138.9,75.99,230.25,163.5,290,1453.02,0.918,966.96,4536,0.96,2.391,14.2,230,24.8,1410.5
20100225,54.77,165.48,74.96,1548.88,0.0715,127.42,23175,135.8,74.88,227.11,160.61,288.55,1457,0.91,959.01,4438.05,0.951,2.303,14.054,228.2,24.184,1403
20100226,55.4,166.72,76.11,1579.85,0.072,126.76,23500,138.25,75.15,230.95,164.08,289.95,1460.03,0.925,957,4525,1.023,2.383,14.299,233.27,24.689,1450
20100227,55.5,167.61,76.9,1574,0.0738,128.05,23623.99,139.72,76.3,231.2,165.49,290.49,1470.08,0.945,957,4590,1.016,2.452,14.449,234.99,24.4,1464.99
20100301,55.25,168.2,76.95,1602.37,0.0757,129.45,23849.1,140,80.26,235.11,168,288,1461.14,0.952,970,4721.4,1.063,2.431,14.497,235.29,25.19,1420.99
20100302,54.85,169.51,78.29,1622.5,0.0762,122.2,24251,140.69,82.44,236.53,170,290.8,1452.03,0.95,972,4717,1.107,2.399,15.38,237.37,25.18,1400
20100303,55.1,170.1,79.1,1624.16,0.0769,125.14,25045,143.05,82.92,238.35,173.85,310,1460,0.979,975,4806.41,1.159,2.4,15.187,237.01,25.55,1402
20100304,54.8,172.27,80.08,1626,0.077,124.88,24799.99,146.38,82.95,238.5,177.7,308,1446.3,0.963,975,4852.15,1.189,2.405,15.487,234.92,25.859,1400.01
20100305,55.05,176.8,81.22,1641.86,0.0778,124.19,25285.17,148.66,87.2,243.44,187,306.55,1453.62,0.973,974,4933,1.238,2.469,15.447,239.23,26.203,1412
20100309,54.47,175.47,80.02,1603,0.0789,121.9,24993.01,145.73,89.41,239.78,190.01,312,1438,0.974,974.99,4860,1.281,2.505,15.16,238.99,26.1,1416
20100310,54.36,173.77,78.79,1576,0.0783,123.3,24851.33,140.94,87.14,237.5,187.6,320,1449.01,0.982,972.99,4894.88,1.28,2.567,14.667,239.92,25.908,1405.01
20100311,54.25,170.62,77.81,1580,0.0772,125.14,24760,139.31,87.41,237.56,187.5,321.1,1450,0.987,973,4870,1.292,2.575,15.089,238.51,25.45,1399
20100312,55.55,172.71,78.81,1603.66,0.0791,126.17,24869.99,140.41,89.1,239.17,191.5,317,1455.02,1.007,979.01,4960,1.283,2.588,14.965,240.6,25.82,1389.62
20100315,55.19,169.27,78.96,1590.88,0.0784,124.9,25100,140.7,87.82,235.59,186.5,315.84,1450,1.003,982,4895,1.275,2.599,14.749,238,25.702,1315
20100316,56.34,171.35,77.75,1633.14,0.0804,126.5,25560,146.4,89,237.66,191.45,316.49,1449.99,1.068,969.07,4975,1.385,2.64,14.8,244.6,25.869,1283.09
20100317,57.15,171.94,78.71,1690.75,0.0812,127.26,25856.69,154,89.35,233.35,200.1,323.97,1465,1.088,967.07,5067.01,1.435,2.7,15.349,244.58,25.849,1280
20100318,59.62,170.6,78.18,1704.1,0.0807,127.25,25260,154.82,89.7,232.4,198.9,324,1551.44,1.056,968.06,4982.91,1.425,2.643,15.211,244.62,26,1265
20100319,60.3,167.06,77.98,1688.25,0.079,125.48,25529.99,159.61,88.04,228.52,205,330.57,1520.99,1.12,965,4987.75,1.49,2.665,15.098,245.5,27.97,1241.99
20100322,59.91,169.29,76.2,1689.96,0.0782,123.2,25877,158.9,86.34,225.1,199,328.37,1504.46,1.125,961,4927.2,1.437,2.65,14.86,248,27.778,1235
20100323,61.34,167.6,76.21,1664,0.0794,120.5,25920.02,158.06,86.03,223.83,201.35,315.2,1471,1.129,961.75,4983.94,1.419,2.59,15.217,246,28.03,1235
20100324,61.3,164.85,75.8,1648.95,0.0785,121.68,26389.97,153.96,86.95,225.7,207.5,315.39,1449.99,1.12,968.86,4931,1.408,2.556,15.19,247.3,27.88,1230
20100325,61.9,162.3,75.12,1631.1,0.0791,122.45,28700,154.48,86,225.5,207.49,314,1450,1.104,961.72,5040,1.432,2.533,15.2,252,28.195,1224.99
20100326,63.99,161.1,74.86,1646,0.0788,122.49,30300,156.58,84.6,233.41,214.87,314.25,1451,1.144,968.51,5154,1.487,2.661,15.2,253.84,28.129,1219.5
20100329,64.4,164.55,74.69,1674.1,0.0806,122.7,29372,158.69,85.46,235,216,317.84,1448,1.182,968,5387,1.609,2.685,15.061,255.56,29.28,1250
20100330,65.7,170.44,74.75,1665,0.0793,122.75,31420,154.1,85.1,235.2,215.65,314.98,1433,1.25,968,5390,1.66,2.792,15.269,254.48,29.113,1210
20100331,68.01,171.5,75.39,1670.5,0.0807,123.67,33927.08,154.01,85.8,233.56,216.9,311.8,1447.98,1.257,965,5430,1.724,2.809,15.389,253.7,28.89,1240
20100401,67.99,175,75.77,1696,0.0812,123.26,35900.01,158.31,87.83,237.1,215,311.5,1455.86,1.28,950.99,5639.88,1.777,2.802,15.33,255.61,29.349,1244
20100402,68.85,175.34,76.32,1701,0.0811,122.96,36000,162.5,88.18,235.82,215.45,310,1450.01,1.325,965.5,5628.3,1.946,2.909,15.68,257.64,29.025,1225.4
20100405,68.35,175.88,76.97,1729.5,0.0815,122.66,39159.5,162.65,88.6,236.6,224,313.54,1440.01,1.517,969.98,5600.58,1.963,2.87,15.9,257.07,29.199,1221.98
20100406,70.13,177.1,76.11,1767.67,0.0829,124.22,36550,167.65,88.6,248.4,221.99,313.55,1445,1.482,969,5545,1.91,2.773,15.859,257.33,29.56,1217.42
20100407,68.93,174.99,75.49,1750.63,0.082,127.88,34700,165.52,86.3,246,214.22,307,1469,1.348,966,5410,1.73,2.68,15.46,257.69,29.11,1206.99
20100408,66.7,174.54,74.4,1728.83,0.0823,128.8,35501.69,164.41,84.94,249.61,213.22,305.31,1464,1.376,969,5453,1.77,2.725,15.429,262.15,28.776,1204.8
20100409,67.67,175.15,75,1740.06,0.0837,134,37450,167,86.88,254.95,215,306.88,1448.99,1.428,977,5541,1.849,2.803,15.55,261.98,29.101,1164.99
20100412,66.3,175.93,74.94,1745.74,0.0839,132.25,37500.06,167.55,86.54,252.99,214.87,307,1454.04,1.419,983.1,5614.84,1.811,2.765,15.59,263.49,29.001,1161.01
20100413,66.4,174.3,74.7,1728.91,0.0841,130.6,37040,165.77,87.2,247.5,218.89,307.77,1477.68,1.421,1009.78,5638.9,1.815,2.76,15.48,264.29,29.001,1163.17
20100414,66.7,181.4,74.4,1745.96,0.0855,133.5,36600,169,89.2,250.52,220,308.45,1462.47,1.418,999.99,5760,1.84,2.77,15.26,273.49,29.329,1164
20100415,65.3,185.16,74.8,1765.05,0.0852,133.48,35199.99,170.45,89.3,249.99,222.3,325.45,1474.99,1.36,1000.6,5811.41,1.804,2.699,15.041,270.2,29.5,1165
20100416,65,179.99,73.25,1730,0.0839,130.5,34000,164.65,86.99,245,216.5,317,1457.36,1.303,999.99,5641.83,1.746,2.604,14.91,266.5,28.95,1159.96
20100419,62.2,174.51,71.15,1684.18,0.079,125.35,32660.2,159.4,85.2,238.31,209.5,304,1431.21,1.26,987.65,5529,1.776,2.516,14.4,258.22,28.8,1143.5
20100420,64,175.15,73.05,1689.2,0.0797,127.71,32949.99,161.85,86.7,242.6,214.7,303,1440,1.279,980,5609,1.83,2.55,14.634,262.32,28.82,1143
20100421,63.05,173.09,74.62,1698.89,0.079,126.9,32751,159.99,85.5,242.5,213.7,306,1443.05,1.259,973,5489.79,1.84,2.509,14.3,262.25,29.2,1138
20100422,62.7,170.7,71.5,1682.22,0.0774,124.11,32600,157,84.45,238.54,211,300.51,1393.99,1.245,964.85,5360.05,1.795,2.507,14.454,261.5,28.799,1138
20100423,62.99,175,73,1702.89,0.0786,126.55,32781,161.74,84.42,242,211.25,306.98,1405,1.255,971,5592,1.885,2.506,14.65,262.5,29.145,1137
20100426,64,177.99,73.2,1726,0.0801,128.43,32559,163.83,84.81,244.3,213,313,1422,1.275,980.07,5670,1.915,2.526,14.728,267,29.2,1144.99
20100427,62.7,175.6,72.5,1705,0.0788,128.02,31501,161.7,82.93,241.01,209,311.89,1405.01,1.235,994.32,5602.01,1.83,2.491,14.5,269.9,28.97,1137.88
20100428,61.05,170.56,71,1673.11,0.0768,123.33,30650,158.6,79.53,240,199.5,306,1404,1.2,961,5452,1.777,2.411,14.1,267.95,28.42,1129.96
20100429,63,174.5,72.6,1682,0.079,127.01,32580,160,80.95,241.7,207.47,306.44,1380.99,1.235,970.21,5727,1.811,2.419,14.103,267.37,28.749,1129.78
20100430,62.17,170,71.79,1670.48,0.0788,125.5,31826.01,157.6,78.6,237.19,207.58,303.52,1381.85,1.226,965.6,5652.9,1.801,2.457,14.066,266.99,29,1126.97
20100504,59.81,164.23,69.35,1650,0.0759,124,31907.83,154.26,75.85,228,202,309.8,1358,1.18,958,5305.08,1.67,2.349,13.45,264.99,28.48,1059.9
20100505,58.1,164.2,67.48,1677,0.0747,120.32,30700,148.78,75.17,223.2,198.75,299,1373,1.148,975.05,5075,1.634,2.341,13.154,261.71,28.571,1070
20100506,58.32,163.79,67.68,1656.52,0.0721,120,28850,143,73.85,221.12,194.5,300,1383.89,1.118,962,5004,1.565,2.216,13,261.2,28.94,1071.07
20100507,54.37,155,63,1600.02,0.067,109.86,25550,133.13,70.35,207.45,173,295,1348.61,1.027,945,4624.94,1.38,2.19,11.698,247,27.711,999.9
20100511,55.8,160.09,64.74,1605.01,0.0726,113.4,26800,138.1,75,218.31,132.39,315.2,1365,1.12,962.01,4829.6,1.484,2.248,12.07,251.15,28.989,1017.02
20100512,59.7,166.07,67.15,1625.9,0.0755,117.19,29000,141.2,81.93,228.55,148,335,1428.88,1.23,975.85,5034.93,1.61,2.34,12.45,254.5,29.449,1020
20100513,60.2,162.9,66.17,1605.72,0.0751,116.18,28001,141.32,80.8,226.4,149.8,334.9,1423,1.216,961.35,5058.64,1.59,2.323,12.501,251.65,29.351,1074
20100514,58.7,159.86,65.46,1589.96,0.0728,114.91,28100,137.5,77.43,221.8,147.94,333,1428.99,1.167,961,4975,1.525,2.258,12.07,248.56,28.599,1041.5
20100517,59,161.38,66.46,1580,0.0737,114.01,28500,137.5,76.01,220.02,145,344,1433.71,1.146,979,5186.82,1.501,2.279,12.1,248.5,28.855,1035.08
20100518,59.9,163.28,69.45,1558.12,0.0743,112.5,29120,135.28,77.12,226.6,146.07,338.5,1418,1.2,970,5136.91,1.589,2.352,13.063,246.35,28.444,1035
20100519,58.3,157.81,69.52,1523.5,0.072,107.5,27300,130.5,73.68,215.9,141,335.79,1435,1.153,952.35,5050,1.513,2.244,12.298,239.04,27.002,980
20100520,57.11,151.05,67.03,1475,0.0691,101,26299.47,125.2,69.9,206.1,134.01,330,1360,1.081,972.66,4895.48,1.428,2.23,11.879,230.6,26.052,940
20100521,56.45,150,66.4,1474.93,0.0694,97.9,26715,125.03,69.3,208.89,138.98,326,1339.98,1.105,961,4980,1.407,2.261,11.59,233.98,26.062,900
20100524,56.08,151,70.14,1477.11,0.0701,99.8,27055,124.35,69.96,208.57,139.75,328,1314,1.097,958,4830.08,1.415,2.26,11.945,230.2,26.898,910
20100525,53.06,143,65.01,1400.93,0.0659,94.49,24800,113.13,64.33,195.44,133,316,1328,1.027,944,4686.15,1.346,2.166,11.082,217.64,24.75,870
20100526,56.7,158.44,66.47,1451.31,0.0691,100.25,25651,105,69.12,216,156,330,1287,1.12,961.01,4694.97,1.406,2.276,12.05,225.99,25.555,887
20100527,56.77,158.46,67,1503.99,0.0726,106.02,26299.99,115.87,70.65,221.51,144.74,329.83,1448,1.195,978.89,4917.84,1.459,2.4,12.499,230.4,27.75,893.99
20100528,56.17,157.88,68.33,1476.78,0.0724,114.5,26050,119.52,70.2,225.96,145,345,1484.96,1.208,975,5033.93,1.457,2.37,12.7,230.46,27.399,960
20100531,57.1,159.84,72.99,1523.06,0.0741,117.99,26695,121.18,71,228.86,148.9,355,1490.02,1.2,970.19,5018.89,1.475,2.46,13.1,233,28.39,982
20100601,57.4,159.26,70.88,1508.1,0.0751,117.45,26285,118.5,70.7,225.3,142,373,1513.2,1.18,968,5161.02,1.475,2.459,14.3,229.93,27.39,970
20100602,60.45,163.8,70.56,1549.93,0.0753,123.42,26789.18,121.75,70.95,226.5,140.89,377.71,1519,1.157,968,5168,1.486,2.4,13.599,230.64,28.551,985
20100603,61.51,164.98,70.76,1591,0.0769,121.28,27279.93,123.9,72.01,224.7,140.39,371.01,1524.99,1.171,989.99,5060,1.55,2.461,13.664,237.85,28.57,1005.02
20100604,60.2,163,70.45,1621.97,0.0743,117.21,27000,120.96,70.25,222.47,137,372,1529.99,1.154,990,4921,1.57,2.37,14.6,233.94,27.612,1001
20100607,58.72,160.59,67.75,1615,0.0732,116.8,26525,116,71.14,222.98,132,375,1492.66,1.13,982.01,4867.86,1.602,2.327,13.901,231.55,27.501,980
20100608,58.5,157.37,68.75,1595,0.0704,113.02,25531,114.5,70.95,214.2,131.02,394,1510.17,1.12,971,4812.78,1.547,2.197,13.711,230,27.09,980
20100609,58.77,158.2,69.2,1605.7,0.0717,115.87,26170,113.69,71.9,214.57,132.9,410,1495,1.128,971,4915,1.578,2.19,13.859,232.9,27.444,993.33
20100610,59,157.79,68.2,1671.95,0.0731,116.49,26500,117.35,73.29,216,132.02,398.97,1495.35,1.147,988,5018.1,1.615,2.16,13.681,233,28.871,979.99
20100611,59.16,156.44,67.3,1680,0.0734,119.2,25839.99,115.7,72.19,215.06,131.31,400.6,1486.98,1.146,975,5003,1.614,2.165,14.672,231.89,29.203,977.99
20100615,61.39,159.71,68.69,1697.18,0.0765,121.15,26453.5,122,76,221,133,402.99,1501,1.186,983.79,5123.98,1.692,2.22,14.494,236.84,29.321,982
20100616,60.93,158.8,68.13,1713,0.0774,119.1,26103.22,122.4,76.71,218.29,136,395.73,1492,1.178,999,5086,1.705,2.227,14.299,234.26,28.794,980
20100617,61.8,156.6,67.48,1662.95,0.0773,120.78,26150,125.9,78.5,206.26,137.9,395.95,1513.1,1.167,984.95,4940,1.698,2.198,14.153,233.87,28.471,950
20100618,62.4,159.4,68.45,1653.11,0.0788,118.8,26400,129.49,80.3,207.8,137,403.95,1520.05,1.173,985.03,4910.13,1.715,2.217,14.453,232.95,28.675,969
20100621,63.49,162.88,69.66,1695.2,0.0803,122.56,28556.98,131.4,84.02,210.13,140.5,414.3,1612.1,1.219,1005,5095,1.754,2.29,14.6,234.3,29.472,970
20100622,62.3,159.44,72.2,1685,0.0789,121.71,28740,126.32,82.41,205.28,138.7,419.82,1594.74,1.208,999.99,4989,1.707,2.297,14.537,232,28.93,964.99
20100623,60.51,158.11,71.77,1700,0.078,118.07,27965.01,123.8,80.85,202,138.99,422,1618,1.21,1000,4940.6,1.692,2.266,14.495,231.99,29.399,945.99
20100624,60.78,154.7,70.4,1685.99,0.0786,117.45,28745,123.37,80.28,198.69,136.51,403.5,1596.99,1.196,999,4890.01,1.652,2.23,14.223,236.5,28.999,920.95
20100625,59.69,152,70.19,1701.34,0.077,116.92,28444,123.65,78,196.27,132.59,408.29,1615,1.169,1001.4,4800.04,1.59,2.214,13.851,243.63,28.6,899.99
20100628,59.5,154,70.8,1685,0.0794,116.73,28880,123.35,80.13,203.06,131.5,405.45,1605,1.172,1001.14,4876.57,1.618,2.24,13.705,246,28.889,900
20100629,56.03,149.85,67.33,1648.35,0.0769,114.07,27400,118.98,77.5,194.49,127.1,397.9,1578.99,1.111,995,4720,1.519,2.175,13.21,234,28.327,861.37
20100630,57.34,149.1,66.5,1615,0.0754,113.2,27075.55,118.5,76.5,192.9,124.5,402,1629.99,1.112,998,4495,1.494,2.171,13.351,236.7,27.9,844.99
20100701,54.77,143.2,64.48,1550.09,0.0708,111.7,25506,111.41,71.9,185.09,124,394,1512,1.043,995,4368.85,1.405,2.14,13,227.51,26.589,827
20100702,55.69,148.25,64.9,1586.4,0.0734,114.86,26700,113.47,72.98,189.01,124.69,413,1518,1.074,990,4505,1.464,2.151,13.243,230.6,27.341,835
20100705,57.05,148.05,65.36,1584.79,0.0748,115,26500,114.35,73.37,187.71,124,408.36,1500.87,1.077,990,4618,1.46,2.181,13.186,232.9,27.5,843.99
20100706,58.8,152.38,66.94,1604,0.0776,118,27739.29,119.99,76.7,193.15,125.1,415.89,1505.23,1.125,980.02,4739.9,1.542,2.316,13.5,237.12,27.955,917.9
20100707,59.02,153.47,67.41,1600.7,0.0773,116.39,27750,120.7,77.49,191.05,124.48,415,1461.9,1.108,991.27,4785.62,1.55,2.35,13.55,238.17,27.702,910.32
20100708,59.77,151.97,66.5,1596.94,0.0768,117.77,27902.01,118.78,77.18,188.24,122,409,1461.89,1.108,981.01,4758.26,1.55,2.422,13.532,242.26,27.64,908.6
20100709,61.22,154.2,66.48,1591.94,0.0769,117.92,27851,118.52,77.66,187.72,122.8,400,1453.92,1.106,981,4815,1.554,2.47,13.58,240.4,27.677,900.01
20100712,61.52,156.13,66.9,1625.23,0.0784,118.5,27956,118.51,79.8,189.7,121.76,401.28,1445.99,1.125,980,4914.09,1.572,2.482,13.5,242.34,28.026,904
20100713,62.15,159.03,67.25,1659,0.0797,118.33,28680,120.57,82.47,195.01,121.4,393.98,1445.01,1.139,980,4949.79,1.642,2.446,13.817,243,28.13,911.99
20100714,62.43,158.12,67.18,1631.82,0.0795,117.5,28173,118.5,82.06,193.01,122.6,395,1471,1.128,984.87,4917,1.615,2.47,13.85,239.89,28.391,923.94
20100715,62.23,157.1,65.97,1609.7,0.0785,119.45,27150.21,116,80.76,188.73,121,394.2,1445.01,1.105,982.93,4840.22,1.568,2.48,14,239.35,27.896,920
20100716,62.39,155.19,65.59,1592,0.0764,122.48,27050.01,116.38,79.07,185.51,118,380,1415,1.094,975,4815,1.545,2.449,14.21,240.26,27.646,935.02
20100719,62.27,156.69,64.92,1593.04,0.0774,122.4,27150.99,117.35,80.5,185.5,118.5,389,1425,1.092,980,4852,1.555,2.429,13.98,240.14,27.846,940
20100720,61.79,155.47,64.09,1593,0.0774,119.72,27114.99,118.2,79.8,183.58,117.99,388.7,1405,1.085,971,4829.31,1.545,2.4,13.655,239.49,27.888,955
20100721,61.85,158.25,65.03,1637.04,0.0792,122.75,27310,119.99,81.9,186.25,118,390,1435.53,1.091,979,4893,1.554,2.41,13.672,240.49,29.055,957.05
20100722,61.4,162.3,66.22,1670,0.081,124.19,27903.04,121.5,83.93,190.28,118.7,402,1441.03,1.098,987,5005,1.558,2.43,13.836,242.99,29.509,966.98
20100723,61.75,160.9,66.1,1680,0.0797,123.89,27752,121.26,83.01,199.5,118,409.96,1425.1,1.096,977,5073,1.56,2.445,13.801,241.78,29.856,974.79
20100726,61.48,162.13,65.77,1694.98,0.0809,123,29779.99,121.98,84.19,206.25,117.5,412.01,1414.5,1.103,980,5110,1.561,2.465,13.972,243.73,30.537,998
20100727,60.75,164.3,66.5,1690.24,0.0825,122.55,29451,123,84.62,208.43,117.7,407.22,1396.43,1.103,984,5052,1.565,2.5,13.816,243.23,30.707,1014.98
20100728,59.9,161.79,66.75,1749.99,0.0824,125.59,28950,120.83,84.28,201.99,117.84,402.29,1380.5,1.087,990,4989.94,1.566,2.53,14.02,243.81,30.247,1014
20100729,60.44,165.5,67.7,1759.05,0.0836,127.4,32090,124.93,86.58,205.43,118.2,400.89,1385.27,1.094,990.01,5074.48,1.57,2.54,14.187,244.15,30.8,1024.98
20100730,60.68,162.85,66.61,1720,0.0814,127.36,34278,123.3,84.56,203.19,119.56,399.98,1381.84,1.079,990.03,4970,1.549,2.532,13.98,240.5,30.792,1015
20100802,61.45,168.99,67.25,1724.92,0.0835,139.8,34400,128,86.58,209.3,129.73,404.6,1397.5,1.109,992,5120,1.616,2.583,14,241.6,31.207,1023
20100803,63.5,165.92,69.7,1693.5,0.0831,134.38,33151.19,126.5,85.84,206.8,134.64,403.94,1364,1.089,989.99,5039.99,1.6,2.558,14,244.5,30.479,1017
20100804,63.15,167.04,70.5,1684.47,0.0838,135.3,33531,128.9,85.84,208.5,139.2,404.5,1369.99,1.09,992,5069,1.611,2.58,13.844,243.5,30.565,1006.01
